Log of Bounding Box Areas for Each Frame
--------------------------------------------------
Frame 48, Class: erc_90, Conf: 0.74, Box: (0.7952728271484375, 414.17413330078125), (83.75038146972656, 479.56329345703125), Area: 5424.36 pixels^2
Frame 49, Class: erc_90, Conf: 0.98, Box: (174.8612060546875, 39.89111328125), (393.6085205078125, 337.8690490722656), Area: 65181.88 pixels^2
Frame 49, Class: erc_90, Conf: 0.67, Box: (0.759765625, 414.337158203125), (83.86869812011719, 479.5906982421875), Area: 5423.15 pixels^2
Frame 50, Class: erc_90, Conf: 0.98, Box: (179.0775146484375, 40.5484619140625), (394.62493896484375, 338.0701904296875), Area: 64130.04 pixels^2
Frame 50, Class: erc_90, Conf: 0.49, Box: (0.699951171875, 413.70416259765625), (84.47560119628906, 479.57843017578125), Area: 5518.66 pixels^2
Frame 51, Class: erc_90, Conf: 0.98, Box: (178.5791473388672, 40.035919189453125), (393.40411376953125, 338.3017272949219), Area: 64074.94 pixels^2
Frame 51, Class: erc_90, Conf: 0.51, Box: (0.72918701171875, 413.74774169921875), (84.7176513671875, 479.55816650390625), Area: 5527.32 pixels^2
Frame 52, Class: erc_90, Conf: 0.98, Box: (177.6510009765625, 38.8607177734375), (393.5374755859375, 337.7486572265625), Area: 64525.86 pixels^2
Frame 52, Class: erc_90, Conf: 0.44, Box: (0.8119430541992188, 414.17340087890625), (85.55360412597656, 479.53204345703125), Area: 5538.60 pixels^2
Frame 53, Class: erc_90, Conf: 0.98, Box: (176.6917724609375, 38.860198974609375), (393.86419677734375, 338.10205078125), Area: 64987.08 pixels^2
Frame 53, Class: erc_90, Conf: 0.40, Box: (0.76116943359375, 414.020263671875), (85.49293518066406, 479.5198974609375), Area: 5549.90 pixels^2
Frame 54, Class: erc_90, Conf: 0.98, Box: (176.86111450195312, 39.317626953125), (394.1860656738281, 338.185302734375), Area: 64951.40 pixels^2
Frame 54, Class: erc_90, Conf: 0.50, Box: (0.7553329467773438, 414.1162109375), (85.69092559814453, 479.536376953125), Area: 5556.50 pixels^2
Frame 55, Class: erc_90, Conf: 0.98, Box: (179.68264770507812, 39.09490966796875), (394.7554626464844, 338.5150451660156), Area: 64397.13 pixels^2
Frame 55, Class: erc_90, Conf: 0.43, Box: (0.7449188232421875, 413.9329833984375), (85.15411376953125, 479.54931640625), Area: 5538.62 pixels^2
Frame 56, Class: erc_90, Conf: 0.98, Box: (178.5043487548828, 38.89886474609375), (394.79254150390625, 337.80609130859375), Area: 64650.11 pixels^2
Frame 56, Class: erc_90, Conf: 0.52, Box: (0.7367477416992188, 414.0821533203125), (84.53376007080078, 479.55908203125), Area: 5486.77 pixels^2
Frame 57, Class: erc_90, Conf: 0.98, Box: (179.318115234375, 39.391510009765625), (395.29864501953125, 338.1336975097656), Area: 64522.50 pixels^2
Frame 57, Class: erc_90, Conf: 0.52, Box: (0.732330322265625, 414.12451171875), (84.773193359375, 479.5679931640625), Area: 5499.93 pixels^2
Frame 58, Class: erc_90, Conf: 0.98, Box: (178.4918212890625, 39.771514892578125), (395.15289306640625, 338.38525390625), Area: 64697.97 pixels^2
Frame 58, Class: erc_90, Conf: 0.57, Box: (0.7801589965820312, 414.35992431640625), (84.95236206054688, 479.506103515625), Area: 5483.50 pixels^2
Frame 59, Class: erc_90, Conf: 0.98, Box: (177.40081787109375, 39.482757568359375), (395.01214599609375, 338.54510498046875), Area: 65079.36 pixels^2
Frame 59, Class: erc_90, Conf: 0.67, Box: (0.7616729736328125, 413.75439453125), (84.4799575805664, 479.552734375), Area: 5508.52 pixels^2
Frame 60, Class: erc_90, Conf: 0.98, Box: (179.4329071044922, 40.0975341796875), (394.06439208984375, 338.99005126953125), Area: 64151.75 pixels^2
Frame 60, Class: erc_90, Conf: 0.56, Box: (0.680572509765625, 413.83837890625), (85.25340270996094, 479.51123046875), Area: 5554.14 pixels^2
Frame 61, Class: erc_90, Conf: 0.98, Box: (178.8997802734375, 36.689910888671875), (393.73797607421875, 338.1803894042969), Area: 64771.67 pixels^2
Frame 61, Class: erc_90, Conf: 0.73, Box: (0.7788848876953125, 413.49951171875), (84.12439727783203, 479.5728759765625), Area: 5506.92 pixels^2
Frame 62, Class: erc_90, Conf: 0.98, Box: (175.874755859375, 36.70721435546875), (394.46258544921875, 338.18634033203125), Area: 65899.66 pixels^2
Frame 62, Class: erc_90, Conf: 0.75, Box: (0.7310562133789062, 413.5184326171875), (84.93461608886719, 479.58447265625), Area: 5563.00 pixels^2
Frame 63, Class: erc_90, Conf: 0.98, Box: (175.902587890625, 37.265838623046875), (393.66522216796875, 338.5097351074219), Area: 65599.66 pixels^2
Frame 63, Class: erc_90, Conf: 0.71, Box: (0.772796630859375, 414.1329345703125), (85.74698638916016, 479.5357666015625), Area: 5557.55 pixels^2
Frame 64, Class: erc_90, Conf: 0.98, Box: (173.2066650390625, 38.9384765625), (393.7152099609375, 337.9769287109375), Area: 65940.53 pixels^2
Frame 64, Class: erc_90, Conf: 0.71, Box: (0.7714004516601562, 414.5862121582031), (85.50233459472656, 479.5262756347656), Area: 5502.43 pixels^2
Frame 65, Class: erc_90, Conf: 0.98, Box: (176.88217163085938, 39.08013916015625), (394.7960510253906, 337.91009521484375), Area: 65119.20 pixels^2
Frame 65, Class: erc_90, Conf: 0.78, Box: (0.7690811157226562, 413.9490966796875), (84.57738494873047, 479.57220458984375), Area: 5499.76 pixels^2
Frame 66, Class: erc_90, Conf: 0.98, Box: (178.04681396484375, 40.825927734375), (394.83782958984375, 337.4759521484375), Area: 64311.06 pixels^2
Frame 66, Class: erc_90, Conf: 0.80, Box: (0.7000045776367188, 414.26837158203125), (85.2055892944336, 479.53607177734375), Area: 5515.49 pixels^2
Frame 67, Class: erc_90, Conf: 0.98, Box: (177.54449462890625, 38.70751953125), (393.98388671875, 337.53729248046875), Area: 64678.54 pixels^2
Frame 67, Class: erc_90, Conf: 0.55, Box: (0.697662353515625, 414.8945617675781), (84.99894714355469, 479.5716857910156), Area: 5452.36 pixels^2
Frame 68, Class: erc_90, Conf: 0.98, Box: (176.40782165527344, 38.92730712890625), (394.65576171875, 337.64434814453125), Area: 65194.38 pixels^2
Frame 68, Class: erc_90, Conf: 0.64, Box: (0.7505264282226562, 414.74395751953125), (84.03564453125, 479.58929443359375), Area: 5400.65 pixels^2
Frame 69, Class: erc_90, Conf: 0.98, Box: (178.00148010253906, 37.64666748046875), (394.2701416015625, 337.1121826171875), Area: 64765.01 pixels^2
Frame 69, Class: erc_90, Conf: 0.55, Box: (0.6776275634765625, 413.8658752441406), (84.31182861328125, 479.5553894042969), Area: 5493.89 pixels^2
Frame 70, Class: erc_90, Conf: 0.98, Box: (175.40122985839844, 37.145843505859375), (394.8414306640625, 336.66241455078125), Area: 65725.98 pixels^2
Frame 70, Class: erc_90, Conf: 0.60, Box: (0.715606689453125, 414.28057861328125), (84.91519165039062, 479.58917236328125), Area: 5498.96 pixels^2
